数字频道,#genre#
 TVN,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TVN/playlist.m3u8
 TVMU,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TVMU_eko/playlist.m3u8
 Astro Vaanavil,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Vaanavil/playlist.m3u8
 Zee TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Zeetvhd/playlist.m3u8
 TVBS歡樂,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tvbshuanle_twn/playlist.m3u8
 TVBS新聞台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tvbs_n/playlist.m3u8
 TVBS HD,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tvbs/playlist.m3u8
 TV9,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TV9/playlist.m3u8
 TV8,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TV8/playlist.m3u8
 TV3,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TV3/playlist.m3u8
 TV2,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/TV2/playlist.m3u8
 TLC旅遊生活,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/tlc_twn/playlist.m3u8
 TLC,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Tlc/playlist.m3u8
 Sun TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Suntv/playlist.m3u8
 Sun Music,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Sunmusic/playlist.m3u8
 Star Vijay,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Starvijay/playlist.m3u8
 三立綜合,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlizhonghe/playlist.m3u8
 三立台灣台,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/sanlitaiwan/playlist.m3u8
 RTM Sports,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Rtmsport/playlist.m3u8
 RTHK31,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/rhk31_twn/playlist.m3u8
 RCTI,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Rcti/playlist.m3u8
 Astro Rania,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Rania/playlist.m3u8
 愛奇藝,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Qiyi/playlist.m3u8
 Paramount Network,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Paramountnetwork/playlist.m3u8
 Astro Oasis,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/Oasis/playlist.m3u8
 Net TV,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/NetTV/playlist.m3u8
