央视频道,#genre#
CCTV4K超高清,http://211.141.56.169:9901/tsfile/live/1025_1.m3u8
CCTV风云剧场,http://211.141.56.169:9901/tsfile/live/1024_1.m3u8
CCTV兵器科技,http://211.141.56.169:9901/tsfile/live/1023_1.m3u8
CCTV文化精品,http://211.141.56.169:9901/tsfile/live/1022_1.m3u8
CCTV怀旧剧场,http://211.141.56.169:9901/tsfile/live/1021_1.m3u8
CCTV风云音乐,http://211.141.56.169:9901/tsfile/live/1020_1.m3u8
CCTV风云足球,http://211.141.56.169:9901/tsfile/live/1019_1.m3u8
CCTV世界地理,http://211.141.56.169:9901/tsfile/live/1018_1.m3u8
CCTV第一剧场,http://211.141.56.169:9901/tsfile/live/1000_1.m3u8
CCTV女性时尚,http://211.141.56.169:9901/tsfile/live/0019_1.m3u8
CCTV央视台球,http://211.141.56.169:9901/tsfile/live/1028_1.m3u8
CCTV5体育赛事,http://211.141.56.169:9901/tsfile/live/0018_1.m3u8
CCTV17农业农村,http://211.141.56.169:9901/tsfile/live/0017_1.m3u8
CCTV16奥林匹克,http://211.141.56.169:9901/tsfile/live/0016_1.m3u8
CCTV15音乐,http://211.141.56.169:9901/tsfile/live/0015_1.m3u8
CCTV14少儿,http://211.141.56.169:9901/tsfile/live/0014_1.m3u8
CCTV13新闻,http://211.141.56.169:9901/tsfile/live/0013_1.m3u8
CCTV12社会与法,http://211.141.56.169:9901/tsfile/live/0012_1.m3u8
CCTV11戏曲,http://211.141.56.169:9901/tsfile/live/0011_1.m3u8
CCTV10科教,http://211.141.56.169:9901/tsfile/live/0010_1.m3u8
CCTV9纪录,http://211.141.56.169:9901/tsfile/live/0009_1.m3u8
CCTV8电视剧,http://211.141.56.169:9901/tsfile/live/0008_1.m3u8
CCTV7国防军事,http://211.141.56.169:9901/tsfile/live/0007_1.m3u8
CCTV6电影,http://211.141.56.169:9901/tsfile/live/0006_1.m3u8
CCTV5体育,http://211.141.56.169:9901/tsfile/live/0005_1.m3u8
CCTV4国际,http://211.141.56.169:9901/tsfile/live/0004_1.m3u8
CCTV3综艺,http://211.141.56.169:9901/tsfile/live/0003_1.m3u8
CCTV2财经,http://211.141.56.169:9901/tsfile/live/0002_1.m3u8
CCTV1综合,http://211.141.56.169:9901/tsfile/live/0001_1.m3u8
卫视频道,#genre#
松原公共,http://211.141.56.169:9901/tsfile/live/1007_1.m3u8
松原,http://211.141.56.169:9901/tsfile/live/1006_1.m3u8
吉林乡村,http://211.141.56.169:9901/tsfile/live/1005_1.m3u8
吉林生活,http://211.141.56.169:9901/tsfile/live/1004_1.m3u8
吉林影视,http://211.141.56.169:9901/tsfile/live/1003_1.m3u8
吉林综艺,http://211.141.56.169:9901/tsfile/live/1002_1.m3u8
吉林都市,http://211.141.56.169:9901/tsfile/live/1001_1.m3u8
陕西卫视,http://211.141.56.169:9901/tsfile/live/0124_2.m3u8
青海卫视,http://211.141.56.169:9901/tsfile/live/0123_1.m3u8
甘肃卫视,http://211.141.56.169:9901/tsfile/live/0141_2.m3u8
江西卫视,http://211.141.56.169:9901/tsfile/live/0121_2.m3u8
四川卫视,http://211.141.56.169:9901/tsfile/live/0120_1.m3u8
重庆卫视,http://211.141.56.169:9901/tsfile/live/0119_1.m3u8
深圳卫视,http://211.141.56.169:9901/tsfile/live/0118_1.m3u8
广西卫视,http://211.141.56.169:9901/tsfile/live/0117_1.m3u8
广东卫视,http://211.141.56.169:9901/tsfile/live/0116_2.m3u8
湖南卫视,http://211.141.56.169:9901/tsfile/live/0115_1.m3u8
湖北卫视,http://211.141.56.169:9901/tsfile/live/0114_1.m3u8
河北卫视,http://211.141.56.169:9901/tsfile/live/0113_1.m3u8
河南卫视,http://211.141.56.169:9901/tsfile/live/0112_1.m3u8
山东卫视,http://211.141.56.169:9901/tsfile/live/0111_1.m3u8
天津卫视,http://211.141.56.169:9901/tsfile/live/0110_1.m3u8
东南卫视,http://211.141.56.169:9901/tsfile/live/0109_1.m3u8
安徽卫视,http://211.141.56.169:9901/tsfile/live/0108_1.m3u8
江苏卫视,http://211.141.56.169:9901/tsfile/live/0107_2.m3u8
浙江卫视,http://211.141.56.169:9901/tsfile/live/0124_1.m3u8
东方卫视,http://211.141.56.169:9901/tsfile/live/0107_1.m3u8
北京卫视,http://211.141.56.169:9901/tsfile/live/0122_1.m3u8
黑龙江卫视,http://211.141.56.169:9901/tsfile/live/0143_1.m3u8
辽宁卫视,http://211.141.56.169:9901/tsfile/live/0121_1.m3u8
吉林卫视,http://211.141.56.169:9901/tsfile/live/0116_1.m3u8
优优宝贝,http://211.141.56.169:9901/tsfile/live/1032_1.m3u8
环球奇观,http://211.141.56.169:9901/tsfile/live/1029_1.m3u8
扶余,http://211.141.56.169:9901/tsfile/live/1026_1.m3u8
CETV1,http://211.141.56.169:9901/tsfile/live/1017_1.m3u8
法治天地,http://211.141.56.169:9901/tsfile/live/1016_1.m3u8
武术世界,http://211.141.56.169:9901/tsfile/live/1015_1.m3u8
金鹰纪实,http://211.141.56.169:9901/tsfile/live/1014_1.m3u8
都市剧场,http://211.141.56.169:9901/tsfile/live/1013_1.m3u8
长影频道,http://211.141.56.169:9901/tsfile/live/1012_1.m3u8
生活时尚,http://211.141.56.169:9901/tsfile/live/1011_1.m3u8
CHC家庭影院,http://211.141.56.169:9901/tsfile/live/1010_1.m3u8
CHC高清电影,http://211.141.56.169:9901/tsfile/live/1009_1.m3u8
CHC动作电影,http://211.141.56.169:9901/tsfile/live/1008_1.m3u8


