央视频道,#genre#
CCTV1综合,http://14.155.252.160:1212/migu/608807420.m3u8?migutoken=2707c9c27c7da863b0bb32f040884bf847ceb8e889e8e5da57fbb0b82a6523fff18706ba6df8ee0be7faa1146bbf64af6de30e7717c06533bd50612d7f7f0e353d66b0320c5f582aa2940a89c9
CCTV2财经,http://14.155.252.160:1212/migu/631780532.m3u8?migutoken=dea22be46d170fa29d78058baad42a21e452a5852d73d6d5e26cae4e94e54b41a63ae803fef0015d30b03c304689eaeffc3ff7a0bc3ed13bb41fd3ab05f894f6019f9fcb396583ffe505a84b17
CCTV3综艺,http://14.155.252.160:1212/migu/624878271.m3u8?migutoken=e572ed45ecb81969b05645820b7f31e4a7afb4c91a046bc5fd1c3800e394514f58ad5df49e9cfbc772fb2e476f9d4809aed6bc16cbca4d2a8e0d53ef3cd3c61c46b73f61638cb82c41eb4e44c1
CCTV4中文国际,http://14.155.252.160:1212/migu/631780421.m3u8?migutoken=3a18ddb8b0e140c54c0b2b757ef046adbc41b83e90a66020874ce0cdf6448b1bafca3501d20eb9a5b133b9ddc0de779070dbdf6fc07a2e19f45cb00320e956f889273075eca16aa0cdf096fe82
CCTV5体育,http://14.155.252.160:1212/migu/641886683.m3u8?migutoken=aa313bd2f7da3a505f0ba223233c927a8f0d7a2ee35a5a3f8d8d7c13353bc6f214cb4dfaeae55155956e5e3d515ec58d39609a055d1afcea3b21e1b67f6c9a08902050e2a858e1063c68ccc15b
CCTV5+体育赛事,http://14.155.252.160:1212/migu/641886773.m3u8?migutoken=1913cc60fb33f22b08389d2e9a0b6f9ae65e83541342c57696e6eb284c207102160c42f17b642082510426a1de7ee148c6f292cda90c95d133783e19b3b79f1f94fee6901bbb50e8967c02485b
CCTV6电影,http://14.155.252.160:1212/migu/624878396.m3u8?migutoken=0435a9927f2fa4fddae5b7e9494fb5f833a84563e0ed88fede976ab119c12b59f5afda9ce7ec459bbb15d5db5b83f0abcdf7e013ef6b334da43959ffbd4240f3e9e2f39047b2613139900c3646
CCTV7国防军事,http://14.155.252.160:1212/migu/673168121.m3u8?migutoken=8557a60be086e48649ab6e839a5520a3ec78b32dfe589e3d2ecd966f4bd6d936980e568887a7c81dc283b0ae73d5ff3ce928d135eacbefb1eac1d172d62df692b5ca935ed12dbb043b51594cb0
CCTV8电视剧,http://14.155.252.160:1212/migu/624878356.m3u8?migutoken=ee5a6d316ced3330eff06278fccf19fe0d9501f94da41ba2ed87a54f96cdb6ef1589a8ffd0731deb246943b5d42c7cc69aca2193a37bacd430c45077558e55e2d3d8093c1765fbd3deadea0a63
CCTV9纪录,http://14.155.252.160:1212/migu/673168140.m3u8?migutoken=1ecbd3304d0f2412f54bfce43f6f43bbb1d0c38bb840b3906d51f98bd312356e84600eb9d8e769ccbd275549417e88f3f18c3d1aebd1e66d9583024621e4bb433b504a6fd6593692f1ae71fe5d
CCTV10科教,http://14.155.252.160:1212/migu/624878405.m3u8?migutoken=c28920cecb24186023bc004a6a18bd79f1738eecdc2f127346b2a8b5c73f44db0adc56d051ced306cb7606da227d5ff4a6e5a435471abc4e84ed1745f329a6011e501bd6ebbec995817ac03f9c
CCTV11戏曲,http://14.155.252.160:1212/migu/667987558.m3u8?migutoken=8731e229ca4bd0d95ef797c53a6b8f60205f2ecdab970539dbb65462c0df936594b541f99adda6a4b8878a01c72cc52514c389947973613b0cf85f443402e39519a861e976e9e8edf0077c11b7
CCTV12社会与法,http://14.155.252.160:1212/migu/673168185.m3u8?migutoken=15b404d650acb1c065d27cf726f2f86fdd57299b4c398d0e4a6b667e55337bd23a236fdd785ffcec0ef24b0fee04d2fc0314bc3f6c1a5353e994f9e2a7fc7d71d9f6164b44d6dad40c25f15011
CCTV13新闻,http://14.155.252.160:1212/migu/608807423.m3u8?migutoken=10deab3c42c11aa1ce8fe8d512cf516706c3c6828442ba13a630cdbf26035f02aadf49354faab0bc8f4115a0ffbac5a6913c2f2a02ab35ad00ac5d9f77908a2ea2ee3caebfb05965bc3cad1abc
CCTV14少儿,http://14.155.252.160:1212/migu/624878440.m3u8?migutoken=541a667a6339f78f2ca9cea79adea032ce0e8dc621eee2ad3d378fabc0360ec5fa7a8db7beebe22df6996995f3a3ce8b2e838bdb6260573a57866a4e27c076dae5031acc08305da71ddaa4c527
