央视,#genre#
CCTV1,http://migu.z529.com/migu/608807420.m3u8?migutoken=235eb3eb6a18ccda45333ed401a53c7f3e92de18b332d164787fb3bd750cc3863ec1ec496019b7a2a8bd17512e37b9a750dc00d0f444bcaec777b328666a8dfbe3be1cbe0f336b1e1ae1cc11f9
CCTV2,http://migu.z529.com/migu/631780532.m3u8?migutoken=97a071ccac24ec5d571fe712418aefac5fa724554244bca24333632feddae2a60fed9cba9ed1f169a65368daf8479d94cb1d36c20ec7f0b276dc91251a083f9b432d3b7894dfb3eec6d38cb127
CCTV3,http://migu.z529.com/migu/624878271.m3u8?migutoken=d33eb9f3d61da6aeafb261b55c2a1dc769ac774cb329000d03dc02e86c90793448980b580b9d40253932636c9dac16f786cb899c96dd90eee742f8346847a2da3227829453f4d70f8711c94d3a
CCTV4,http://migu.z529.com/migu/631780421.m3u8?migutoken=fcdbf620d2915f63625d4310099a51715fd9be461f93f82b201ec81a7798d5406c830945e70fb6a7a879659eeb750b3e0a49afef3f986b8aaf58a769fa987175dccefb8d2bfb27490d4f5da447
CCTV5,http://migu.z529.com/migu/641886683.m3u8?migutoken=a3a8f1a8aa2228aeb526abc24613ab9303435da687fd59769eec84df4f2f828ee8dfaefe7f0a67767ff93bab9aa6a5f6a4d473392e1201c4e88a7fe723404b689fba28bc1ad781a09d7e68a2ab
CCTV5+,http://migu.z529.com/migu/641886773.m3u8?migutoken=578b655335f45b8d6429325139bc2ab3992d645565264863e4d59bf8021ca9185310336ea102525a1c2249fce8359441a56ceb099f49bbd88c83856ba6cc5c852aa6e296722b9be217cf2e2c0c
CCTV6,http://migu.z529.com/migu/624878396.m3u8?migutoken=f401ec60535746539e9cd8091a3dc622ee5426a82cd50c254f03652bd1d9f739ec55b76f8a47e5cb9323be33a939ab05e4bced3778b773f369234a4ed2a64b7206fe76c317ec6425eafa0e3822
CCTV7,http://migu.z529.com/migu/673168121.m3u8?migutoken=de9c3d3776bad4f15256429d25226868518a2fe5b99b7b76ed24a99b5e70fa2139c1c46854ce03f409d2e42148c0e48f7308d0d37c30beaac2252594c9e6f7e1af58068be4f30cbf1db03c3683
CCTV8,http://migu.z529.com/migu/624878356.m3u8?migutoken=0fba782af82091e6522ac71c3a771619648a229b848b3eba2cc0102cac9ac1cc119eb251bd30dffa1cfb722de7165da18f52451981210143f1559cd88d614c4e783e1d088432e0efebe2579d42
CCTV9,http://migu.z529.com/migu/673168140.m3u8?migutoken=ebb77f59cdceb95f147ef638a363b644f686fde8350f41bef7d0e67551f006db52cff3431e8a85c046d52141840907b64b6b5443931d5d86b867fa9b5e4a941e05a91a4189e784262dec3e2f31
CCTV10,http://migu.z529.com/migu/624878405.m3u8?migutoken=e7e823c943eb9108bc53a4baa974a6708b79b29a12827a6c6f6a3fbbd835fafd7c2ee5c41649f9ba8f9a1b97e0d3daabc13ef5a6f564e17304d404e35427853054df89aba58e5f011560f80622
CCTV11,http://migu.z529.com/migu/667987558.m3u8?migutoken=6d903ee3021196defaec5bea05f4dd9376e2e474a4cae2b55603623298345c1bf7a158b5ace03e0ad08f2c77b3807b049d104ce52c9d534c2ac617c85ea68f3b783061c0b14b56b9c79db7a34b
CCTV12,http://migu.z529.com/migu/673168185.m3u8?migutoken=3aaba3f63ba75c2017522ea3a7644ce446b782f2799f53d09511300ab7304fcb6e1f13a97965d6cbfcbf8cadce3913b439177167e3a864d8cae5cb62390df2eed5e8e3907f04f41827e1198351
CCTV13,http://migu.z529.com/migu/608807423.m3u8?migutoken=5a0f69e0fe0ea25db44849c1ebe708daff892503796a531aa37ba542c2d4f55aee7417b8c30499fb354a2315d97bcaf7e7c2dca31d17dab7e1cf337c86becde5c35e80f9c0c584bc63added06d
CCTV14,http://migu.z529.com/migu/624878440.m3u8?migutoken=8a9e804b10abe4fd44bf9594bb324bb822d4e55e16210b2f875f7e9bc62ead998edc8373555229365ebb907395f9b55791f522c8273d29ccfaef0e021e9f7b74ed26560dff0fde91dec35ea779
CCTV15,http://migu.z529.com/migu/673168223.m3u8?migutoken=73f5b5e7fad6a91519a4999d96b9317050cf8fd029f50fe7faed13acbdfcfc21ee46180a145df73383c670700da6a63ed19da0f345c14538e6248ed64d5e900a4428c795667a3076581ae8954f
CCTV17,http://migu.z529.com/migu/673168256.m3u8?migutoken=feee9b49658abb6d92e0c8a1c2bf306e28be119152b9bf789e3caac3271a69eb4749e98f36702333bded07be6c11b8b5fcfb5125127422f1458175842ba4708589e7ebef17d9dd7fc1c3c2491e
CHC家庭影院,http://migu.z529.com/migu/644368373.m3u8?migutoken=441e156f28ef4a940f09f63d8e60052d8c43d3508c532e358cd2a78f2d5169eb271c72380360e1c8c9f43d2486b01aff23bb3b9dbd266e66690896fc2c0d2c23a5161001002444dcd5aa56e7ca
