央视频道,#genre#
CCTV1,http://1.itv.nctv.top:8883/gaoma/cctv1.m3u8
CCTV1,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV2,http://1.itv.nctv.top:8883/gaoma/cctv2.m3u8
CCTV2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV3,http://1.itv.nctv.top:8883/gaoma/cctv3.m3u8
CCTV3,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV4,http://1.itv.nctv.top:8883/gaoma/cctv4.m3u8
CCTV4,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV5,http://1.itv.nctv.top:8883/gaoma/cctv5.m3u8
CCTV5,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV5p,http://1.itv.nctv.top:8883/gaoma/cctv5p.m3u8
CCTV5p,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV6,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV7,http://1.itv.nctv.top:8883/gaoma/cctv7.m3u8
CCTV7,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV8,http://1.itv.nctv.top:8883/gaoma/cctv8.m3u8
CCTV8,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV9,http://1.itv.nctv.top:8883/gaoma/cctv9.m3u8
CCTV9,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV10,http://1.itv.nctv.top:8883/gaoma/cctv10.m3u8
CCTV10,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV11,http://1.itv.nctv.top:8883/gaoma/cctv11.m3u8
CCTV11,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV12,http://1.itv.nctv.top:8883/gaoma/cctv12.m3u8
CCTV12,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV13,http://1.itv.nctv.top:8883/gaoma/cctv13.m3u8
CCTV13,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8?key=txiptv&playlive=1&authid=0$LR
CCTV14,http://1.itv.nctv.top:8883/gaoma/cctv14.m3u8
