央视,#genre#
CCTV-1综合,http://39.170.52.236:808/hls/1/index.m3u8
CCTV-2财经,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-3综艺,http://39.170.52.236:808/hls/3/index.m3u8
CCTV-4中文国际,http://39.170.52.236:808/hls/4/index.m3u8
CCTV-5体育,http://39.170.52.236:808/hls/5/index.m3u8
CCTV-6电影,http://39.170.52.236:808/hls/6/index.m3u8
CCTV-7国防军事,http://39.170.52.236:808/hls/7/index.m3u8
CCTV-8电视剧,http://39.170.52.236:808/hls/8/index.m3u8
CCTV-9纪录,http://39.170.52.236:808/hls/9/index.m3u8
CCTV-10科教,http://39.170.52.236:808/hls/10/index.m3u8
CCTV-11戏曲,http://39.170.52.236:808/hls/11/index.m3u8
CCTV-12社会与法,http://39.170.52.236:808/hls/12/index.m3u8
CCTV-13新闻,http://39.170.52.236:808/hls/13/index.m3u8
CCTV14ᴴᴰ,http://39.170.52.236:808/hls/14/index.m3u8
CCTV-15音乐,http://39.170.52.236:808/hls/15/index.m3u8
CCTV16,http://39.170.52.236:808/hls/16/index.m3u8
CCTV-17,http://39.170.52.236:808/hls/17/index.m3u8
卫视,#genre#
浙江卫视,http://39.170.52.236:808/hls/18/index.m3u8
浙江新闻,http://39.170.52.236:808/hls/19/index.m3u8
浙江民生,http://39.170.52.236:808/hls/20/index.m3u8
经济少儿,http://39.170.52.236:808/hls/21/index.m3u8
浙江钱江,http://39.170.52.236:808/hls/22/index.m3u8
浙江影视生活,http://39.170.52.236:808/hls/23/index.m3u8
民生休闲ᴴᴰ,http://39.170.52.236:808/hls/24/index.m3u8
辽宁卫视,http://39.170.52.236:808/hls/25/index.m3u8
江苏卫视,http://39.170.52.236:808/hls/26/index.m3u8
北京卫视,http://39.170.52.236:808/hls/27/index.m3u8
深圳卫视,http://39.170.52.236:808/hls/28/index.m3u8
安徽卫视,http://39.170.52.236:808/hls/29/index.m3u8
广东卫视,http://39.170.52.236:808/hls/30/index.m3u8
天津卫视,http://39.170.52.236:808/hls/31/index.m3u8
山东卫视,http://39.170.52.236:808/hls/32/index.m3u8
湖北卫视,http://39.170.52.236:808/hls/33/index.m3u8
重庆卫视,http://39.170.52.236:808/hls/34/index.m3u8
江苏卫视ᴴᴰ,http://39.170.52.236:808/hls/35/index.m3u8
江西卫视,http://39.170.52.236:808/hls/36/index.m3u8
四川卫视,http://39.170.52.236:808/hls/37/index.m3u8
东南卫视,http://39.170.52.236:808/hls/38/index.m3u8
广西卫视,http://39.170.52.236:808/hls/39/index.m3u8
山西卫视,http://39.170.52.236:808/hls/40/index.m3u8
湖南卫视,http://39.170.52.236:808/hls/41/index.m3u8
东方卫视,http://39.170.52.236:808/hls/42/index.m3u8
云南卫视ᴴᴰ,http://39.170.52.236:808/hls/43/index.m3u8
河北卫视ᴴᴰ,http://39.170.52.236:808/hls/44/index.m3u8
黑龙江卫视ᴴᴰ,http://39.170.52.236:808/hls/45/index.m3u8
河南卫视ᴴᴰ,http://39.170.52.236:808/hls/46/index.m3u8
山东卫视ᴴᴰ,http://39.170.52.236:808/hls/47/index.m3u8
东南卫视ᴴᴰ,http://39.170.52.236:808/hls/48/index.m3u8
湖北卫视ᴴᴰ,http://39.170.52.236:808/hls/49/index.m3u8
辽宁卫视ᴴᴰ,http://39.170.52.236:808/hls/50/index.m3u8
江西卫视ᴴᴰ,http://39.170.52.236:808/hls/51/index.m3u8
青海卫视ᴴᴰ,http://39.170.52.236:808/hls/52/index.m3u8
西藏卫视ᴴᴰ,http://39.170.52.236:808/hls/53/index.m3u8
陕西卫视ᴴᴰ,http://39.170.52.236:808/hls/54/index.m3u8
兵团卫视ᴴᴰ,http://39.170.52.236:808/hls/55/index.m3u8
山西卫视ᴴᴰ,http://39.170.52.236:808/hls/56/index.m3u8
宁夏卫视ᴴᴰ,http://39.170.52.236:808/hls/57/index.m3u8
河南卫视ᴴᴰ,http://39.170.52.236:808/hls/58/index.m3u8
广西卫视ᴴᴰ,http://39.170.52.236:808/hls/59/index.m3u8
金鹰卡通ᴴᴰ,http://39.170.52.236:808/hls/60/index.m3u8
哈哈炫动ᴴᴰ,http://39.170.52.236:808/hls/61/index.m3u8
中国教育一套ᴴᴰ,http://39.170.52.236:808/hls/62/index.m3u8
中国教育四套ᴴᴰ,http://39.170.52.236:808/hls/63/index.m3u8
深圳卫视ᴴᴰ,http://39.170.52.236:808/hls/64/index.m3u8
内蒙古卫视ᴴᴰ,http://39.170.52.236:808/hls/65/index.m3u8
甘肃卫视ᴴᴰ,http://39.170.52.236:808/hls/66/index.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
